"name","ra","dec","alt","az"
"AR And","26.26250000","37.94250000","3.9867950089560718","30.760094143552823"
"DX And","352.44166667","43.75111111","82.57568772991777","227.8809690634887"
"EG And","11.15416667","40.67916667","31.232941109115416","297.668556258313"
"FN And","17.98750000","35.29000000","72.15241812366318","134.39635431002114"
"FO And","18.88333333","37.62638889","66.23606897265827","107.66194514973708"
"LS And","8.04166667","41.96972222","9.681293660898751","326.90880680050077"
"PQ And","37.37083333","40.04416667","51.53499498896926","277.38423834396656"
"RX And","16.14583333","41.29916667","78.55012584976535","232.26820678743684"
"Z And","353.41250000","48.81805556","85.43818102250059","89.66651115151248"
"DH Aql","291.54166667","-9.74222222","-46.957986480985724","31.360459699009258"
"FO Aql","289.15833333","0.12694444","-20.906429217066115","63.7016082944596"
"KX Aql","293.47083333","14.29638889","-26.32576824167841","351.5488567740903"
"UU Aql","299.32500000","-8.67750000","-2.8829055083362944","260.0767735424237"
"V0603 Aql","282.22500000","0.58388889","38.86642699696336","155.11689911604358"
"V0725 Aql","299.18750000","10.82555556","10.474067358499548","274.5003835558748"
"V1413 Aql","285.94166667","16.43805556","22.194468779836942","90.19940030431542"
"VY Aqr","318.03750000","-7.17333333","-45.968832251776846","336.3624935734696"
"VZ Aqr","322.60000000","-1.01194444","-4.2063533716699","273.30285201154277"
"SV Ari","51.26250000","19.83111111","-17.569682248134654","24.953249335202674"
"TT Ari","31.72083333","15.29472222","-15.92728573316906","318.2802504819002"
"SS Aur","93.34166667","47.74027778","47.63710414503731","65.62349851161825"
"TT Boo","224.43333333","40.72777778","10.838701459247217","322.4044754584175"
"UZ Boo","221.00416667","22.01500000","-18.98129369689814","359.20333359652307"
"AF Cam","53.06250000","58.78944444","17.798317445726273","359.08164764977266"
"Z Cam","126.30416667","73.11083333","32.916184597788835","353.09991335344444"
"AM Cas","36.59583333","71.30861111","53.39056212771073","330.7735165833825"
"GX Cas","12.25416667","56.87861111","48.77372213124504","308.6244358455807"
"HT Cas","17.55000000","60.07666667","77.77989318354658","21.633955933548812"
"KU Cas","22.75833333","57.90333333","41.05919263076016","44.731957541841574"
