Star Name,Radec,Decdec
AR And,26.26250000,37.94250000
DX And,352.44166667,43.75111111
EG And,11.15416667,40.67916667
FN And,17.98750000,35.29000000
FO And,18.88333333,37.62638889
LS And,8.04166667,41.96972222
PQ And,37.37083333,40.04416667
RX And,16.14583333,41.29916667
Z And,353.41250000,48.81805556
DH Aql,291.54166667,-9.74222222
FO Aql,289.15833333,0.12694444
KX Aql,293.47083333,14.29638889
UU Aql,299.32500000,-8.67750000
V0603 Aql,282.22500000,0.58388889
V0725 Aql,299.18750000,10.82555556
V1413 Aql,285.94166667,16.43805556
VY Aqr,318.03750000,-7.17333333
VZ Aqr,322.60000000,-1.01194444
SV Ari,51.26250000,19.83111111
TT Ari,31.72083333,15.29472222
SS Aur,93.34166667,47.74027778
TT Boo,224.43333333,40.72777778
UZ Boo,221.00416667,22.01500000
AF Cam,53.06250000,58.78944444
Z Cam,126.30416667,73.11083333
AM Cas,36.59583333,71.30861111
GX Cas,12.25416667,56.87861111
HT Cas,17.55000000,60.07666667
KU Cas,22.75833333,57.90333333
V0630 Cas,357.21250000,51.46083333
WW Cet,2.85000000,-10.52138889
AL Com,188.10416667,14.34527778
T CrB,239.87500000,25.92000000
TX CVn,191.17500000,36.76388889
BF Cyg,290.97083333,29.67472222
CH Cyg,291.13750000,50.24138889
EM Cyg,294.66666667,30.50777778
EY Cyg,298.65000000,32.36527778
Q Cyg,325.42916667,42.84138889
SS Cyg,325.67500000,43.58583333
V0404 Cyg,306.01250000,33.86722222
V0476 Cyg,299.60000000,53.61833333
V0503 Cyg,306.82083333,43.68944444
V0516 Cyg,311.78750000,41.92388889
V0542 Cyg,297.29166667,58.53305556
V0630 Cyg,323.74583333,40.67166667
V0632 Cyg,324.01666667,40.43861111
V0751 Cyg,313.05000000,44.32388889
V0795 Cyg,293.64166667,31.53638889
V0811 Cyg,297.09583333,36.43972222
V1016 Cyg,299.27083333,39.82666667
V1028 Cyg,300.23333333,56.94333333
V1251 Cyg,325.22500000,48.66194444
V1454 Cyg,298.40833333,35.36250000
V1500 Cyg,317.90000000,48.15055556
V1668 Cyg,325.64583333,44.03166667
V1819 Cyg,298.65416667,35.70444444
HR Del,310.58333333,19.16083333
AB Dra,297.27500000,77.73972222
AG Dra,240.42083333,66.80277778
DO Dra,175.90833333,71.68888889
AH Her,251.04166667,25.25055556
AM Her,274.05416667,49.86777778
CH Her,278.69166667,24.80027778
DQ Her,271.87500000,45.85888889
V0443 Her,275.52916667,23.45555556
V0446 Her,284.33750000,13.24138889
V0533 Her,273.58333333,41.85611111
YY Her,273.64166667,20.98888889
CP Lac,333.92083333,55.61694444
AY Lyr,281.10833333,37.99750000
CY Lyr,283.17083333,26.75861111
DM Lyr,284.68333333,30.25916667
LL Lyr,278.80000000,38.33444444
MV Lyr,286.81666667,44.01888889
V0344 Lyr,281.16250000,43.37416667
RS Oph,267.55416667,-5.29222222
V0426 Oph,271.96250000,5.86305556
AG Peg,327.75416667,12.62555556
EF Peg,318.76666667,14.06361111
IP Peg,350.78333333,18.41638889
RU Peg,333.50833333,12.70305556
AX Per,24.09166667,54.25055556
FO Per,62.14166667,51.24666667
GK Per,52.80000000,43.90416667
KT Per,24.28333333,50.95555556
TZ Per,33.45833333,58.38111111
UV Per,32.53333333,57.18916667
UW Per,33.12083333,57.08861111
TY Psc,21.41250000,32.38555556
U Sco,245.62500000,-16.12166667
LX Ser,234.50000000,18.86750000
MU Ser,268.96666667,-13.97861111
UZ Ser,272.85000000,-13.07388889
AW Sge,299.65416667,16.69111111
HM Sge,295.48750000,16.74416667
RZ Sge,300.82500000,17.04777778
WZ Sge,301.90000000,17.70388889
FN Sgr,283.47500000,-17.00555556
BC UMa,178.06250000,49.24472222
BZ UMa,133.43333333,57.81111111
CH UMa,151.75000000,67.54638889
CI UMa,154.55416667,71.92888889
CY UMa,164.23333333,49.68833333
DI UMa,138.06666667,50.89833333
SU UMa,123.11666667,62.60611111
SW UMa,129.17500000,53.47694444
SS UMi,237.84166667,71.75305556
HV Vir,200.26250000,1.89111111
LV Vul,297.00000000,27.17194444
NQ Vul,292.30833333,20.46638889
PU Vul,305.30416667,21.57166667
PW Vul,291.52083333,27.36583333
QU Vul,306.69166667,27.84527778
VW Vul,314.43750000,25.50694444
BM And,354.40833333,48.40333333
FG Aql,285.59166667,-4.39472222
FH Aql,285.59583333,-4.39000000
V0536 Aql,294.73750000,10.50444444
RW Aur,76.95416667,30.40138889
UY Aur,72.94583333,30.78694444
DG Aur,75.38750000,32.56722222
GM Aur,73.79166667,30.36638889
GZ Aur,75.01250000,30.01888889
HO Aur,76.94166667,31.33833333
PS Aur,77.76250000,32.30166667
V0347 Aur,74.23750000,51.51416667
V0372 Aur,88.67500000,41.87000000
VX Cas,7.87500000,61.98055556
MQ Cas,2.40416667,58.21944444
NX Cas,9.74583333,59.46333333
V0519 Cas,44.19583333,63.45472222
V0545 Cas,5.06666667,59.38694444
V0594 Cas,10.82500000,61.91111111
V0628 Cas,349.35416667,60.84527778
V0642 Cas,3.76666667,63.84388889
NSV 87,3.23333333,63.77500000
NSV 93,3.46250000,63.75750000
SV Cep,335.38750000,73.67416667
YZ Cep,334.50416667,57.28805556
BG Cep,330.12500000,68.47277778
BH Cep,330.42500000,69.74333333
BO Cep,334.22500000,70.06250000
BS Cep,337.27083333,65.24472222
DI Cep,344.04583333,58.66694444
DZ Cep,326.23750000,58.58000000
EH Cep,315.85000000,67.98500000
GM Cep,324.57083333,57.52277778
LO Cep,319.92916667,61.70722222
V0373 Cep,325.77500000,66.11500000
V0488 Cep,323.82916667,57.61055556
V0730 Cep,343.51250000,58.90027778
V0517 Cyg,311.84583333,43.74416667
V0561 Cyg,306.49166667,52.14472222
V1057 Cyg,314.72083333,44.25777778
V1331 Cyg,315.28750000,50.36222222
V1393 Cyg,308.41250000,41.32388889
V1514 Cyg,301.75416667,58.27805556
V1515 Cyg,305.95000000,42.20694444
V1910 Cyg,323.12916667,38.96500000
V1938 Cyg,323.15416667,39.66805556
V1977 Cyg,311.90416667,43.79027778
V1982 Cyg,315.97500000,50.25250000
NSV 25614,322.20833333,39.19805556
CF Dra,286.69583333,53.38250000
KW Her,280.35416667,12.15638889
V1117 Her,249.77500000,9.79861111
